chunk_id,contract_name,chunk_index,clause_category,answer,text_preview
0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Document Name,DISTRIBUTOR AGREEMENT,"EXHIBIT 10.6 DISTRIBUTOR AGREEMENT THIS DISTRIBUTOR AGREEMENT (the ""Agreement"") is made by and between Electric City Corp., a Delaware corporation (""C"
0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Parties,Distributor,"EXHIBIT 10.6 DISTRIBUTOR AGREEMENT THIS DISTRIBUTOR AGREEMENT (the ""Agreement"") is made by and between Electric City Corp., a Delaware corporation (""C"
0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Agreement Date,"7th day of September, 1999.","EXHIBIT 10.6 DISTRIBUTOR AGREEMENT THIS DISTRIBUTOR AGREEMENT (the ""Agreement"") is made by and between Electric City Corp., a Delaware corporation (""C"
0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Effective Date,"The term of this  Agreement  shall be ten (10)                            years (the ""Term"")  which shall  commence on the date                            upon which the Company  delivers to  Distributor  the                            last Sample, as defined  hereinafter.","EXHIBIT 10.6 DISTRIBUTOR AGREEMENT THIS DISTRIBUTOR AGREEMENT (the ""Agreement"") is made by and between Electric City Corp., a Delaware corporation (""C"
0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Expiration Date,"The term of this  Agreement  shall be ten (10)                            years (the ""Term"")  which shall  commence on the date                            upon which the Company  delivers to  Distributor  the                            last Sample, as defined  hereinafter.","EXHIBIT 10.6 DISTRIBUTOR AGREEMENT THIS DISTRIBUTOR AGREEMENT (the ""Agreement"") is made by and between Electric City Corp., a Delaware corporation (""C"
0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Renewal Term,"If Distributor                            complies with all of the terms of this Agreement, the                            Agreement  shall be  renewable on an annual basis for                            one (1) year terms for up to  another  ten (10) years                            on the same terms and conditions as set forth herein.","EXHIBIT 10.6 DISTRIBUTOR AGREEMENT THIS DISTRIBUTOR AGREEMENT (the ""Agreement"") is made by and between Electric City Corp., a Delaware corporation (""C"
0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Governing Law,This Agreement is to be construed according to the laws          of the State of Illinois.,"EXHIBIT 10.6 DISTRIBUTOR AGREEMENT THIS DISTRIBUTOR AGREEMENT (the ""Agreement"") is made by and between Electric City Corp., a Delaware corporation (""C"
0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Exclusivity,The  Distributor  shall  not order or                   purchase Products from any source other than the Company.,"EXHIBIT 10.6 DISTRIBUTOR AGREEMENT THIS DISTRIBUTOR AGREEMENT (the ""Agreement"") is made by and between Electric City Corp., a Delaware corporation (""C"
0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__No-Solicit Of Customers,"Distributor further agrees that it will not interfere                            with or  otherwise  disrupt  the  business  relations                            between the Company or nay of its  affiliates and any                            of their current or prospective customers,  suppliers                            or distributors, during the","EXHIBIT 10.6 DISTRIBUTOR AGREEMENT THIS DISTRIBUTOR AGREEMENT (the ""Agreement"") is made by and between Electric City Corp., a Delaware corporation (""C"
0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__No-Solicit Of Employees,"During the Term of this Agreement and for a period of                            twelve (12) months  thereafter,  the  Distributor (on                            behalf of itself,  each of its affiliates and each of                            their respective representatives) agrees that it will                            not  directly  or  indirectly  solicit  or  hire  any                            executive,  managerial  or technical  employee of the                            Company or any of its affiliates.","EXHIBIT 10.6 DISTRIBUTOR AGREEMENT THIS DISTRIBUTOR AGREEMENT (the ""Agreement"") is made by and between Electric City Corp., a Delaware corporation (""C"
